Dish,Ingredients (with quantities),Calories,Protein_g,Carbs_g,Fat_g,Fiber_g,Preparation
Grilled Chicken Breast #1,"200g chicken breast, 1 tbsp olive oil, 1 tsp paprika, 1/2 tsp salt, 1/2 tsp black pepper",330,62,0,7,0,"1. Preheat grill to medium-high heat.
2. In a bowl, mix olive oil, paprika, salt, and black pepper.
3. Rub the mixture onto the chicken breast and let it marinate for 15 minutes.
4. Place chicken on the grill and cook for 6–7 minutes on each side until internal temperature reaches 165°F.
5. Let rest for 5 minutes before serving."
Egg White Omelette with Spinach #2,"4 egg whites, 1 cup spinach, 1 tsp olive oil, 1/4 tsp salt, 1/4 tsp pepper",110,20,2,2,1,"1. Heat olive oil in a non-stick skillet over medium heat.
2. Add spinach and sauté for 1–2 minutes until wilted.
3. In a bowl, whisk egg whites with salt and pepper.
4. Pour egg whites over spinach and cook until the bottom sets.
5. Fold the omelette and cook for another minute. Serve hot."
Tuna Salad #3,"1 can (165g) tuna in water, 1/2 cup chopped celery, 1 tbsp Greek yogurt, 1 tsp mustard, salt & pepper to taste",220,38,3,5,1,"1. Drain the tuna and transfer to a bowl.
2. Add chopped celery, Greek yogurt, mustard, salt, and pepper.
3. Mix well until combined.
4. Serve chilled or with whole grain crackers for a healthy snack."
Shrimp Stir Fry #4,"150g shrimp, 1 cup mixed vegetables, 1 tbsp soy sauce, 1 tsp sesame oil, 1 garlic clove minced",190,28,5,6,2,"1. Heat sesame oil in a pan over medium-high heat.
2. Add garlic and cook until fragrant.
3. Add shrimp and cook for 2–3 minutes per side until pink.
4. Add mixed vegetables and soy sauce, stir fry for another 3–4 minutes.
5. Serve hot."
Boiled Egg Avocado Toast #5,"2 boiled eggs, 1 slice whole grain bread, 1/2 avocado, salt, pepper, chili flakes",310,15,18,20,5,"1. Toast the whole grain bread.
2. Mash the avocado and spread it on the toast.
3. Slice boiled eggs and place on top.
4. Sprinkle with salt, pepper, and chili flakes. Serve immediately."
Grilled Chicken Breast #6,"200g chicken breast, 1 tbsp olive oil, 1 tsp paprika, 1/2 tsp salt, 1/2 tsp black pepper",330,62,0,7,0,"1. Preheat grill to medium-high heat.
2. In a bowl, mix olive oil, paprika, salt, and black pepper.
3. Rub the mixture onto the chicken breast and let it marinate for 15 minutes.
4. Place chicken on the grill and cook for 6–7 minutes on each side until internal temperature reaches 165°F.
5. Let rest for 5 minutes before serving."
Egg White Omelette with Spinach #7,"4 egg whites, 1 cup spinach, 1 tsp olive oil, 1/4 tsp salt, 1/4 tsp pepper",110,20,2,2,1,"1. Heat olive oil in a non-stick skillet over medium heat.
2. Add spinach and sauté for 1–2 minutes until wilted.
3. In a bowl, whisk egg whites with salt and pepper.
4. Pour egg whites over spinach and cook until the bottom sets.
5. Fold the omelette and cook for another minute. Serve hot."
Tuna Salad #8,"1 can (165g) tuna in water, 1/2 cup chopped celery, 1 tbsp Greek yogurt, 1 tsp mustard, salt & pepper to taste",220,38,3,5,1,"1. Drain the tuna and transfer to a bowl.
2. Add chopped celery, Greek yogurt, mustard, salt, and pepper.
3. Mix well until combined.
4. Serve chilled or with whole grain crackers for a healthy snack."
Shrimp Stir Fry #9,"150g shrimp, 1 cup mixed vegetables, 1 tbsp soy sauce, 1 tsp sesame oil, 1 garlic clove minced",190,28,5,6,2,"1. Heat sesame oil in a pan over medium-high heat.
2. Add garlic and cook until fragrant.
3. Add shrimp and cook for 2–3 minutes per side until pink.
4. Add mixed vegetables and soy sauce, stir fry for another 3–4 minutes.
5. Serve hot."
Boiled Egg Avocado Toast #10,"2 boiled eggs, 1 slice whole grain bread, 1/2 avocado, salt, pepper, chili flakes",310,15,18,20,5,"1. Toast the whole grain bread.
2. Mash the avocado and spread it on the toast.
3. Slice boiled eggs and place on top.
4. Sprinkle with salt, pepper, and chili flakes. Serve immediately."
Grilled Chicken Breast #11,"200g chicken breast, 1 tbsp olive oil, 1 tsp paprika, 1/2 tsp salt, 1/2 tsp black pepper",330,62,0,7,0,"1. Preheat grill to medium-high heat.
2. In a bowl, mix olive oil, paprika, salt, and black pepper.
3. Rub the mixture onto the chicken breast and let it marinate for 15 minutes.
4. Place chicken on the grill and cook for 6–7 minutes on each side until internal temperature reaches 165°F.
5. Let rest for 5 minutes before serving."
Egg White Omelette with Spinach #12,"4 egg whites, 1 cup spinach, 1 tsp olive oil, 1/4 tsp salt, 1/4 tsp pepper",110,20,2,2,1,"1. Heat olive oil in a non-stick skillet over medium heat.
2. Add spinach and sauté for 1–2 minutes until wilted.
3. In a bowl, whisk egg whites with salt and pepper.
4. Pour egg whites over spinach and cook until the bottom sets.
5. Fold the omelette and cook for another minute. Serve hot."
Tuna Salad #13,"1 can (165g) tuna in water, 1/2 cup chopped celery, 1 tbsp Greek yogurt, 1 tsp mustard, salt & pepper to taste",220,38,3,5,1,"1. Drain the tuna and transfer to a bowl.
2. Add chopped celery, Greek yogurt, mustard, salt, and pepper.
3. Mix well until combined.
4. Serve chilled or with whole grain crackers for a healthy snack."
Shrimp Stir Fry #14,"150g shrimp, 1 cup mixed vegetables, 1 tbsp soy sauce, 1 tsp sesame oil, 1 garlic clove minced",190,28,5,6,2,"1. Heat sesame oil in a pan over medium-high heat.
2. Add garlic and cook until fragrant.
3. Add shrimp and cook for 2–3 minutes per side until pink.
4. Add mixed vegetables and soy sauce, stir fry for another 3–4 minutes.
5. Serve hot."
Boiled Egg Avocado Toast #15,"2 boiled eggs, 1 slice whole grain bread, 1/2 avocado, salt, pepper, chili flakes",310,15,18,20,5,"1. Toast the whole grain bread.
2. Mash the avocado and spread it on the toast.
3. Slice boiled eggs and place on top.
4. Sprinkle with salt, pepper, and chili flakes. Serve immediately."
Grilled Chicken Breast #16,"200g chicken breast, 1 tbsp olive oil, 1 tsp paprika, 1/2 tsp salt, 1/2 tsp black pepper",330,62,0,7,0,"1. Preheat grill to medium-high heat.
2. In a bowl, mix olive oil, paprika, salt, and black pepper.
3. Rub the mixture onto the chicken breast and let it marinate for 15 minutes.
4. Place chicken on the grill and cook for 6–7 minutes on each side until internal temperature reaches 165°F.
5. Let rest for 5 minutes before serving."
Egg White Omelette with Spinach #17,"4 egg whites, 1 cup spinach, 1 tsp olive oil, 1/4 tsp salt, 1/4 tsp pepper",110,20,2,2,1,"1. Heat olive oil in a non-stick skillet over medium heat.
2. Add spinach and sauté for 1–2 minutes until wilted.
3. In a bowl, whisk egg whites with salt and pepper.
4. Pour egg whites over spinach and cook until the bottom sets.
5. Fold the omelette and cook for another minute. Serve hot."
Tuna Salad #18,"1 can (165g) tuna in water, 1/2 cup chopped celery, 1 tbsp Greek yogurt, 1 tsp mustard, salt & pepper to taste",220,38,3,5,1,"1. Drain the tuna and transfer to a bowl.
2. Add chopped celery, Greek yogurt, mustard, salt, and pepper.
3. Mix well until combined.
4. Serve chilled or with whole grain crackers for a healthy snack."
