Dish,Ingredients,Calories,Protein_g,Carbs_g,Fat_g,Fiber_g,Preparation
Vegetable Khichdi,"1/2 cup rice, 1/4 cup moong dal, 1 cup mixed vegetables (carrot, beans, peas), 1 tsp cumin seeds, 1 tbsp ghee, 1/2 tsp turmeric, Salt to taste, 3 cups water",320,11,48,8,6,"1. Rinse rice and moong dal thoroughly and soak for 15 minutes.
2. Heat ghee in a pressure cooker, add cumin seeds, let them splutter.
3. Add chopped vegetables, sauté for 2 minutes.
4. Add soaked rice and dal, turmeric, salt, and water.
5. Mix well and pressure cook for 3 whistles.
6. Let the pressure release naturally, then stir and serve hot."
Palak Paneer,"200g spinach, 100g paneer, 1 onion, 1 tomato, 1 tsp ginger-garlic paste, 1 tsp cumin seeds, 1 tbsp oil, 1/2 tsp garam masala, Salt to taste",280,14,12,20,5,"1. Blanch spinach in boiling water for 2 minutes, then transfer to cold water.
2. Blend spinach to a smooth puree.
3. Heat oil in a pan, add cumin seeds, chopped onion, and sauté till golden.
4. Add ginger-garlic paste and chopped tomato, cook until soft.
5. Add spinach puree, salt, garam masala and cook for 5 minutes.
6. Add paneer cubes and simmer for 3-4 minutes.
7. Serve hot with roti or rice."
Chickpea Salad,"1 cup boiled chickpeas, 1 cucumber, 1 tomato, 1 onion, Juice of 1 lemon, 1 tsp olive oil, Salt and pepper to taste, Fresh coriander",210,10,30,6,8,"1. Finely chop cucumber, tomato, onion, and coriander.
2. In a large bowl, mix boiled chickpeas and chopped vegetables.
3. Add lemon juice, olive oil, salt, and pepper.
4. Mix well and let it rest for 10 minutes.
5. Serve chilled as a refreshing salad."
Vegetable Khichdi Variant 3,"1/2 cup rice, 1/4 cup moong dal, 1 cup mixed vegetables (carrot, beans, peas), 1 tsp cumin seeds, 1 tbsp ghee, 1/2 tsp turmeric, Salt to taste, 3 cups water",326,14,51,11,6,"1. Rinse rice and moong dal thoroughly and soak for 15 minutes.
2. Heat ghee in a pressure cooker, add cumin seeds, let them splutter.
3. Add chopped vegetables, sauté for 2 minutes.
4. Add soaked rice and dal, turmeric, salt, and water.
5. Mix well and pressure cook for 3 whistles.
6. Let the pressure release naturally, then stir and serve hot."
Palak Paneer Variant 4,"200g spinach, 100g paneer, 1 onion, 1 tomato, 1 tsp ginger-garlic paste, 1 tsp cumin seeds, 1 tbsp oil, 1/2 tsp garam masala, Salt to taste",288,18,16,20,6,"1. Blanch spinach in boiling water for 2 minutes, then transfer to cold water.
2. Blend spinach to a smooth puree.
3. Heat oil in a pan, add cumin seeds, chopped onion, and sauté till golden.
4. Add ginger-garlic paste and chopped tomato, cook until soft.
5. Add spinach puree, salt, garam masala and cook for 5 minutes.
6. Add paneer cubes and simmer for 3-4 minutes.
7. Serve hot with roti or rice."
Chickpea Salad Variant 5,"1 cup boiled chickpeas, 1 cucumber, 1 tomato, 1 onion, Juice of 1 lemon, 1 tsp olive oil, Salt and pepper to taste, Fresh coriander",220,10,35,7,10,"1. Finely chop cucumber, tomato, onion, and coriander.
2. In a large bowl, mix boiled chickpeas and chopped vegetables.
3. Add lemon juice, olive oil, salt, and pepper.
4. Mix well and let it rest for 10 minutes.
5. Serve chilled as a refreshing salad."
Vegetable Khichdi Variant 6,"1/2 cup rice, 1/4 cup moong dal, 1 cup mixed vegetables (carrot, beans, peas), 1 tsp cumin seeds, 1 tbsp ghee, 1/2 tsp turmeric, Salt to taste, 3 cups water",332,12,54,10,6,"1. Rinse rice and moong dal thoroughly and soak for 15 minutes.
2. Heat ghee in a pressure cooker, add cumin seeds, let them splutter.
3. Add chopped vegetables, sauté for 2 minutes.
4. Add soaked rice and dal, turmeric, salt, and water.
5. Mix well and pressure cook for 3 whistles.
6. Let the pressure release naturally, then stir and serve hot."
Palak Paneer Variant 7,"200g spinach, 100g paneer, 1 onion, 1 tomato, 1 tsp ginger-garlic paste, 1 tsp cumin seeds, 1 tbsp oil, 1/2 tsp garam masala, Salt to taste",294,16,19,23,6,"1. Blanch spinach in boiling water for 2 minutes, then transfer to cold water.
2. Blend spinach to a smooth puree.
3. Heat oil in a pan, add cumin seeds, chopped onion, and sauté till golden.
4. Add ginger-garlic paste and chopped tomato, cook until soft.
5. Add spinach puree, salt, garam masala and cook for 5 minutes.
6. Add paneer cubes and simmer for 3-4 minutes.
7. Serve hot with roti or rice."
Chickpea Salad Variant 8,"1 cup boiled chickpeas, 1 cucumber, 1 tomato, 1 onion, Juice of 1 lemon, 1 tsp olive oil, Salt and pepper to taste, Fresh coriander",226,13,38,6,10,"1. Finely chop cucumber, tomato, onion, and coriander.
2. In a large bowl, mix boiled chickpeas and chopped vegetables.
3. Add lemon juice, olive oil, salt, and pepper.
4. Mix well and let it rest for 10 minutes.
5. Serve chilled as a refreshing salad."
Vegetable Khichdi Variant 9,"1/2 cup rice, 1/4 cup moong dal, 1 cup mixed vegetables (carrot, beans, peas), 1 tsp cumin seeds, 1 tbsp ghee, 1/2 tsp turmeric, Salt to taste, 3 cups water",338,15,57,9,6,"1. Rinse rice and moong dal thoroughly and soak for 15 minutes.
2. Heat ghee in a pressure cooker, add cumin seeds, let them splutter.
3. Add chopped vegetables, sauté for 2 minutes.
4. Add soaked rice and dal, turmeric, salt, and water.
5. Mix well and pressure cook for 3 whistles.
6. Let the pressure release naturally, then stir and serve hot."
